dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
-125,early,6,125,700,7,192,"[220, 440, 220]","['higher', 'higher', 'higher']","[2, 4, 3]",3,2,2,2272,"[28, 248, 28]","[28, 248, 28]"
,,,,700,7,40000,,,,,3,2,2079,[False],[False]
80,late,4,80,700,7,392,[False],['standard'],[False],0,4,2,2308,[False],[False]
-100,early,5,100,700,7,220,[False],['standard'],[False],0,5,2,2134,[False],[False]
,,,,700,7,40000,,,,,6,2,2130,[False],[False]
8,late,6,8,700,7,220,"[192, 440]","['lower', 'higher']","[4, 2]",2,7,2,2396,"[-28, 220]","[28, 220]"
-4,early,5,4,700,7,392,[192],['lower'],[2],1,8,2,2420,[-200],[200]
48,late,6,48,700,7,192,[False],['standard'],[False],0,9,2,2303,[False],[False]
,,,,700,7,40000,,,,,10,2,2095,[False],[False]
13,late,4,13,700,7,220,"[192, 392, 392]","['lower', 'higher', 'higher']","[2, 6, 7]",3,11,2,2059,"[-28, 172, 172]","[28, 172, 172]"
36,late,4,36,700,7,440,"[220, 192]","['lower', 'lower']","[7, 3]",2,12,2,2211,"[-220, -248]","[220, 248]"
,,,,700,7,40000,,,,,13,2,2113,[False],[False]
80,late,4,80,700,7,392,[False],['standard'],[False],0,14,2,2332,[False],[False]
-27,early,5,27,700,7,192,"[220, 440]","['higher', 'higher']","[2, 3]",2,15,2,2369,"[28, 248]","[28, 248]"
8,late,6,8,700,7,220,"[192, 440]","['lower', 'higher']","[4, 2]",2,16,2,2277,"[-28, 220]","[28, 220]"
-13,early,4,13,700,7,192,[220],['higher'],[2],1,17,2,2404,[28],[28]
,,,,700,7,40000,,,,,18,2,2215,[False],[False]
0,on_time,4,0,700,7,440,[220],['lower'],[3],1,19,2,2496,[-220],[220]
-8,early,6,8,700,7,192,[440],['higher'],[3],1,20,2,2163,[248],[248]
,,,,700,7,40000,,,,,21,2,2275,[False],[False]
-125,early,5,125,700,7,392,"[220, 192]","['lower', 'lower']","[7, 3]",2,22,2,2135,"[-172, -200]","[172, 200]"
-48,early,5,48,700,7,220,"[192, 392, 192]","['lower', 'higher', 'lower']","[4, 7, 2]",3,23,2,2351,"[-28, 172, -28]","[28, 172, 28]"
,,,,700,7,40000,,,,,24,2,2252,[False],[False]
36,late,5,36,700,7,440,[192],['lower'],[7],1,25,2,2325,[-248],[248]
-4,early,4,4,700,7,440,"[192, 192]","['lower', 'lower']","[2, 3]",2,26,2,2001,"[-248, -248]","[248, 248]"
-8,early,6,8,700,7,192,[440],['higher'],[3],1,27,2,2223,[248],[248]
,,,,700,7,40000,,,,,28,2,2184,[False],[False]
8,late,5,8,700,7,220,"[192, 392]","['lower', 'higher']","[7, 4]",2,29,2,2052,"[-28, 172]","[28, 172]"
80,late,5,80,700,7,192,[False],['standard'],[False],0,30,2,2264,[False],[False]
19,late,5,19,700,7,220,[392],['higher'],[3],1,31,2,2031,[172],[172]
-125,early,4,125,700,7,392,"[220, 440]","['lower', 'higher']","[3, 6]",2,32,2,2219,"[-172, 48]","[172, 48]"
,,,,700,7,40000,,,,,33,2,2047,[False],[False]
13,late,6,13,700,7,392,[220],['lower'],[5],1,34,2,2389,[-172],[172]
,,,,700,7,40000,,,,,35,2,2452,[False],[False]
0,on_time,6,0,700,7,192,"[220, 440]","['higher', 'higher']","[4, 3]",2,36,2,2393,"[28, 248]","[28, 248]"
36,late,5,36,700,7,440,[192],['lower'],[7],1,37,2,2436,[-248],[248]
-80,early,5,80,700,7,392,"[192, 440, 192]","['lower', 'higher', 'lower']","[7, 2, 3]",3,38,2,2118,"[-200, 48, -200]","[200, 48, 200]"
,,,,700,7,40000,,,,,39,2,2422,[False],[False]
0,on_time,6,0,700,7,192,"[220, 440]","['higher', 'higher']","[4, 3]",2,40,2,2227,"[28, 248]","[28, 248]"
27,late,5,27,700,7,192,[440],['higher'],[7],1,41,2,2276,[248],[248]
,,,,700,7,40000,,,,,42,2,2489,[False],[False]
-27,early,4,27,700,7,392,"[440, 192, 440]","['higher', 'lower', 'higher']","[3, 6, 2]",3,43,2,2356,"[48, -200, 48]","[48, 200, 48]"
,,,,700,7,40000,,,,,44,2,2042,[False],[False]
0,on_time,5,0,700,7,440,[192],['lower'],[7],1,45,2,2382,[-248],[248]
,,,,700,7,40000,,,,,46,2,2070,[False],[False]
-125,early,6,125,700,7,192,"[220, 440, 220]","['higher', 'higher', 'higher']","[2, 4, 3]",3,47,2,2072,"[28, 248, 28]","[28, 248, 28]"
13,late,5,13,700,7,440,[False],['standard'],[False],0,48,2,2466,[False],[False]
0,on_time,5,0,700,7,392,"[440, 220]","['higher', 'lower']","[3, 7]",2,49,2,2226,"[48, -172]","[48, 172]"
,,,,700,7,40000,,,,,50,2,2381,[False],[False]
4,late,4,4,700,7,192,"[220, 392, 392]","['higher', 'higher', 'higher']","[2, 7, 6]",3,51,2,2180,"[28, 200, 200]","[28, 200, 200]"
,,,,700,7,40000,,,,,52,2,2172,[False],[False]
-100,early,6,100,700,7,220,[False],['standard'],[False],0,53,2,2065,[False],[False]
,,,,700,7,40000,,,,,54,2,2144,[False],[False]
-36,early,6,36,700,7,192,[False],['standard'],[False],0,55,2,2051,[False],[False]
-13,early,6,13,700,7,440,"[392, 392]","['lower', 'lower']","[2, 5]",2,56,2,2267,"[-48, -48]","[48, 48]"
4,late,5,4,700,7,220,[False],['standard'],[False],0,57,2,2358,[False],[False]
,,,,700,7,40000,,,,,58,2,2221,[False],[False]
0,on_time,4,0,700,7,440,"[192, 192, 392]","['lower', 'lower', 'lower']","[2, 6, 7]",3,59,2,2383,"[-248, -248, -48]","[248, 248, 48]"
